,year,Sint Maarten (Dutch part),Not classified,West Bank and Gaza,Serbia,Cambodia,United Arab Emirates,Cyprus,Lower middle income,Maldives,Low income,Peru,Early-demographic dividend,Fiji,Chad,Middle East & North Africa (excluding high income),Middle East & North Africa (IDA & IBRD countries),World,Saudi Arabia,Dominican Republic,Kenya,"Venezuela, RB",Canada,Guinea,Pakistan,Latvia,Denmark,"Hong Kong SAR, China",Nauru,Qatar,United States,Europe & Central Asia (IDA & IBRD countries),Brazil,Nigeria,"Yemen, Rep.",North Macedonia,Namibia,Rwanda,Least developed countries: UN classification,Central Europe and the Baltics,Cabo Verde,Brunei Darussalam,Philippines,Palau,Sri Lanka,Sao Tome and Principe,Haiti,Pacific island small states,China,Germany,St. Martin (French part),Faroe Islands,Norway,Small states,Ireland,Tanzania,Bhutan,Kosovo,Zambia,Europe & Central Asia (excluding high income),Isle of Man,Guatemala,Oman,Tunisia,Singapore,South Africa,Finland,Montenegro,Pre-demographic dividend,Bosnia and Herzegovina,Sierra Leone,Barbados,Middle East & North Africa,East Asia & Pacific (IDA & IBRD countries),Marshall Islands,San Marino,Syrian Arab Republic,Nicaragua,Poland,Fragile and conflict affected situations,Grenada,Slovenia,St. Vincent and the Grenadines,Mexico,Morocco,Angola,Samoa,Cameroon,Thailand,Vietnam,Solomon Islands,Japan,Niger,Senegal,Costa Rica,Albania,St. Lucia,Andorra,South Asia (IDA & IBRD),South Asia,South Sudan,Azerbaijan,East Asia & Pacific (excluding high income),Equatorial Guinea,Honduras,IDA & IBRD total,Burkina Faso,Jamaica,Dominica,Trinidad and Tobago,Channel Islands,Burundi,Liechtenstein,Afghanistan,Madagascar,Ethiopia,Paraguay,"Macao SAR, China",Belarus,British Virgin Islands,Bermuda,Mongolia,Other small states,High income,Luxembourg,Austria,Antigua and Barbuda,Portugal,Mali,Arab World,Bahrain,"Congo, Dem. Rep.",Colombia,Gibraltar,Australia,Chile,Suriname,United Kingdom,Moldova,Cuba,Somalia,Late-demographic dividend,Benin,IDA total,Tajikistan,Tonga,Kyrgyz Republic,"Congo, Rep.",Lebanon,Upper middle income,Estonia,Middle income,Comoros,Europe & Central Asia,Uruguay,Italy,Croatia,Caribbean small states,"Korea, Rep.",Lesotho,Malta,Mauritius,East Asia & Pacific,New Caledonia,Low & middle income,North America,Curacao,American Samoa,Indonesia,Iraq,Belize,Georgia,Timor-Leste,OECD members,Netherlands,Russian Federation,Latin America & Caribbean (excluding high income),Zimbabwe,Sudan,Guyana,"Korea, Dem. People’s Rep.",Ecuador,Post-demographic dividend,Djibouti,Monaco,Guam,Lithuania,Cayman Islands,Turkmenistan,Malaysia,"Egypt, Arab Rep.",Turks and Caicos Islands,Bangladesh,Gabon,Liberia,Cote d'Ivoire,Lao PDR,IDA blend,Aruba,IDA only,Panama,Eswatini,Sub-Saharan Africa,Sub-Saharan Africa (IDA & IBRD countries),Algeria,Guinea-Bissau,Armenia,Vanuatu,Tuvalu,Ukraine,Greece,Malawi,Mauritania,Belgium,Switzerland,Heavily indebted poor countries (HIPC),Czech Republic,Iceland,Latin America & the Caribbean (IDA & IBRD countries),New Zealand,Spain,Turkey,Latin America & Caribbean,Botswana,Nepal,Uzbekistan,European Union,Ghana,"Bahamas, The",Euro area,Hungary,India,IBRD only,Libya,Togo,"Iran, Islamic Rep.","Micronesia, Fed. Sts.",Kazakhstan,Sub-Saharan Africa (excluding high income),Israel,Seychelles,Central African Republic,Kuwait,France,Mozambique,Eritrea,Bulgaria,Jordan,Myanmar,Sweden,Puerto Rico,Kiribati,Papua New Guinea,Argentina,El Salvador,Virgin Islands (U.S.),Greenland,Uganda,"Gambia, The",Romania,Northern Mariana Islands,St. Kitts and Nevis,Bolivia,French Polynesia,Slovak Republic
30,1990,,,1978248,7586000,8975597,1828432,766615,1875358869,223158,332330635,22071433,2029207305,728573,5963252,226259037,224280789,5281340078,16233785,7133494,23724579,19632665,27691138,6352283,107647921,2663151,5140939,5704500,9505,476278,249623000,428315751,149003223,95212450,11709993,1996228,1432905,7288882,506275612,110743128,337950,258721,61895160,15058,17325773,119209,7037917,1694332,1135185000,79433029,31520,47274,4241473,25134362,3513974,25203845,530804,1862000,8036845,385427601,70298,9263813,1812161,8242496,3047132,36800509,4986431,606372,415057375,4463423,4319762,260936,254215138,1584871832,47271,24125,12446171,4173434,38110782,258210292,96331,1998161,107484,83943132,24807462,11848386,162803,11780088,56558186,67988862,311866,123537000,8026591,7526307,3119433,3286542,138020,54509,1133495196,1133495196,5492623,7159000,1605197175,419188,4955303,4307407025,8811034,2419906,70419,1221116,140671,5438957,28789,12412308,11598633,47887865,4223415,343808,10189000,17489,59326,2184145,17430779,1004169206,381850,7677850,62528,9983218,8449913,222653373,495931,34612023,33102575,29147,17065100,13274623,405168,57247586,3696000,10596987,7225092,1849526605,4978496,839244170,5283814,95069,4391200,2356737,2803044,2069481368,1569174,3944840237,411594,842570541,3109601,56719240,4777368,6009251,42869283,1703747,354170,1058775,1822193192,170899,4277170872,277373464,145400,47347,181413402,17419113,187552,4802000,737814,1071033942,14951510,148292000,417409519,10432421,20147590,743309,20293054,10230934,964233474,590398,29438,130482,3697838,25312,3683967,18029824,56134475,12111,103171956,949488,2075912,11924877,4258472,284376771,62149,554867399,2470947,822420,509451851,509451851,25758869,975261,3538171,146573,8913,51892000,10196792,9404500,2034346,9967379,6715519,354047260,10333355,254826,426991606,3329800,38867322,53921760,442040696,1286756,18905478,20510000,477725565,14773277,256223,311262588,10373988,873277798,3468162855,4436661,3774312,56366217,96301,16348000,509382344,4660000,69507,2806734,2095344,58235697,12987292,2258653,8718289,3565890,41335199,8558835,3537000,72400,4615839,32618651,5270079,103963,55600,17354392,955593,23201835,45752,40259,6864842,199905,5299187
31,1991,,,2068845,7595636,9289299,1937153,783124,1915913909,229751,341955755,22522378,2073777602,735401,6157079,232101440,230032595,5369210095,16772694,7270409,24521703,20096317,28037420,6534939,110778648,2650581,5154298,5752000,9764,487353,252981000,430330022,151648011,97667632,12302124,1993302,1476388,7083935,520262423,110469467,346230,266210,63454786,15441,17535729,121956,7178607,1721237,1150780000,80013896,32449,47120,4261732,25593376,3534235,26056594,534632,1898000,8246656,387394807,70932,9483270,1893768,8427857,3135083,37718950,5013740,607105,427398511,4369319,4348660,261905,261046309,1608999005,48404,24460,12815401,4267568,38246193,265557410,96460,1999429,107776,85512623,25260404,12248901,163997,12137912,57232465,69436954,320780,123921000,8288735,7755496,3202085,3266790,139995,56671,1158655617,1158655617,5420171,7271000,1629641399,432853,5098591,4386707250,9050084,2439334,70374,1229103,141467,5564926,29159,13299017,11942819,49609969,4334345,353626,10194000,18006,59021,2217917,17813831,1012606603,387000,7754891,63367,9960235,8635527,228731685,509760,35908244,33758337,29022,17284000,13495258,413005,57424897,3704000,10673542,7274030,1873490015,5149499,862212623,5400630,95246,4463600,2422305,2921706,2098733828,1561314,4014647737,423872,846356322,3131660,56758521,4689022,6058308,43295704,1742539,363845,1070266,1848222188,175362,4356603492,281077441,144403,48685,184591903,17889459,191128,4835900,759527,1080817111,15069798,148624000,425153755,10680995,20891441,744474,20609150,10472475,970954772,606844,29622,133558,3704134,26544,3789185,18519937,57424549,12811,105599127,975783,2040139,12362407,4379236,292064422,64622,570148201,2523118,845266,523726913,523726913,26400479,997522,3505258,150716,9026,52000470,10319927,9600355,2087912,10004486,6799978,364782185,10308578,257797,434963098,3495100,38966376,54840590,450125305,1326322,19405504,20952000,479155422,15207367,261008,312708137,10373400,891273209,3524494627,4544242,3862992,57679034,98770,16450500,523656474,4949000,70439,2878509,2031296,58559311,13328032,2266358,8632367,3760496,41890197,8617375,3562110,73692,4725547,33079000,5342198,104807,55500,17953531,992673,23001155,46666,40379,7011453,203726,5303294
32,1992,,,2163591,7646424,9623889,2052891,800611,1956554979,236265,352066121,22966818,2117950211,744469,6356748,237828663,235665072,5453393960,17282691,7408342,25326078,20557683,28371264,6716038,113911126,2614338,5171370,5800500,10030,495395,256514000,431944610,154259380,100161710,12954155,1988659,1516958,6702244,534731006,110111454,355757,273892,65020116,15856,17736821,124576,7319493,1750921,1164970000,80624598,31811,46739,4286401,26020302,3558430,26961197,534516,1932000,8451347,389005125,71254,9708544,1983275,8613861,3230698,38672607,5041992,608516,440397767,4233676,4347724,262886,265656619,1631566815,49245,24822,13187663,4364512,38363667,273554015,97165,1996498,107950,87075138,25711406,12657366,165490,12499499,57811021,70883481,329995,124229000,8566770,7990096,3286520,3247039,141760,58888,1184133314,1184133314,5305457,7382000,1652538259,447266,5244678,4464471808,9297113,2461049,70544,1236683,142006,5685565,29553,14485546,12301336,51423585,4445016,362311,10216000,18438,58595,2243495,18156566,1018853066,392175,7840709,64471,9952494,8850334,232956352,523086,37333914,34422569,28840,17495000,13719819,420655,57580402,3706000,10736387,7295384,1893548031,5331803,885723758,5502494,95399,4515400,2489952,3076132,2125919794,1533091,4082474773,436448,849757442,3154464,56797087,4575818,6112815,43747962,1782285,367618,1084441,1872480731,179799,4434540894,284943859,143912,49896,187739786,18402734,194324,4873500,783198,1090444452,15184166,148689000,432859827,10900502,21696244,748602,20937404,10716129,977682743,615054,29865,136692,3700114,27780,3899843,19002656,58666814,13632,107983704,1002579,2001624,12812421,4500351,299824422,68235,585899336,2575954,866993,538246469,538246469,27028326,1020350,3442817,155170,9112,52150266,10399061,9685973,2142645,10045158,6875364,376055904,10319123,261057,442915528,3531700,39157685,55748948,458175526,1363554,19938320,21449000,480544294,15653336,266029,314162058,10369341,909307016,3578748050,4650885,3945905,58780370,101389,16439095,538175706,5123000,70763,2959236,,58851217,13806001,2257596,8540164,3977672,42401684,8668067,3585176,74766,4836217,33529326,5416323,105712,55300,18561674,1027475,22794284,46476,40697,7160920,207245,5305016
33,1993,,,2262676,7699307,9970733,2173139,818746,1997079030,242605,362526825,23408131,2161909784,754963,6563922,243429290,241166614,5538448726,17763298,7546463,26136216,21016901,28684764,6897166,117086685,2563290,5188628,5901000,10287,501479,259919000,433317638,156849078,102700753,13634076,1984028,1555101,6263757,549559264,110041924,366053,281681,66593904,16290,17924823,127062,7460689,1782120,1178440000,81156363,30200,46266,4311991,26428552,3576261,27887203,532596,1965000,8656486,390255767,71428,9938692,2072104,8795932,3313471,39633750,5066447,610170,453849633,4078937,4328957,263874,272107828,1653289954,49831,25209,13565072,4462497,38461408,281936725,98230,1991746,108033,88625440,26155203,13075049,167119,12864090,58337773,72300308,339504,124536000,8860287,8226760,3372298,3227287,143409,60971,1209847786,1209847786,5185699,7495000,1674590518,462637,5394412,4541486325,9552476,2484581,70831,1243616,142415,5798053,29975,15816603,12675460,53295566,4555521,370199,10239000,18786,58910,2263186,18476081,1026846769,397475,7905633,65777,9964675,9087176,239243261,536210,38815834,35091275,28675,17667000,13944937,428030,57718614,3701000,10789306,7315865,1914561058,5521763,909609929,5593315,95557,4516700,2559873,3246126,2151996102,1494128,4149075132,449274,852712876,3177745,56831821,4600463,6170351,44194628,1822236,371308,1097374,1895897521,184496,4511601957,288662674,144299,51020,190851175,18955085,197622,4911100,806860,1099606388,15290368,148520000,440530487,11092766,22527834,754144,21265834,10961466,984081948,618495,30146,139818,3682613,29069,4010789,19484898,59880658,14526,110350639,1029778,1976699,13271643,4619944,307643999,72504,601965930,2629580,887706,553020362,553020362,27635515,1043423,3363108,159744,9194,52179210,10460415,9710331,2198532,10084475,6938265,387705076,10329855,263725,450843971,3572200,39361262,56653804,466199679,1399110,20489975,21942000,482059744,16106765,271069,315449099,10357523,927403860,3631876396,4755133,4029053,59723764,103915,16330419,552948109,5261000,72253,3046149,,59106768,14370946,2238626,8472313,4201555,42890002,8718561,3615497,75716,4949051,33970111,5490477,106578,55200,19175988,1060862,22763280,45758,41135,7312850,210642,5325305
34,1994,,,2366298,7734639,10317899,2294385,837110,2037399623,248588,373150870,23851408,2205893669,765609,6781053,248897270,246530972,5622575421,18214470,7683707,26950513,21474549,29000663,7081116,120362762,2520742,5206180,6035400,10498,507041,263126000,434073825,159432716,105293700,14297613,1981703,1591822,5936261,564581083,110021594,376407,289454,68180859,16717,18094477,129427,7602320,1812834,1191835000,81438348,28484,45856,4336613,26841234,3590386,28792639,531897,1997000,8869740,390879149,71661,10172297,2148419,8967916,3419048,40564059,5088333,611389,467465199,3936524,4309775,264893,278384965,1674861279,50215,25582,13950476,4559006,38542652,290328995,99352,1989443,108053,90156400,26584478,13503747,168694,13230984,58875269,73651218,349281,124961000,9168312,8461068,3458834,3207536,145083,62677,1235693869,1235693869,5111365,7597000,1696474639,479098,5548960,4617974811,9816588,2509043,71043,1249520,142863,5898967,30426,17075727,13066543,55180998,4666094,377798,10227000,19074,59320,2280479,18801065,1034461319,402925,7936118,67204,9991525,9334880,245449409,549583,40252975,35758979,28602,17855000,14166340,435105,57865745,3690000,10838462,7372598,1935068108,5714220,933763049,5679167,95739,4515100,2632345,3403357,2177563609,1462514,4214963232,462277,854685450,3201151,56843400,4652024,6227335,44641540,1861324,374797,1112846,1919359723,189482,4588114102,292185983,144630,52095,193917462,19539340,201680,4836076,827825,1108313712,15382838,148336000,448171372,11261744,23338464,758896,21577982,11208001,989856904,622366,30435,142802,3657144,30514,4115102,19977500,61095804,15407,112737683,1057255,1986493,13735433,4735845,315538560,76700,618224489,2684116,907620,568072008,568072008,28213774,1066346,3283667,164129,9252,51921041,10512922,9745690,2255516,10115603,6993795,399503946,10333587,266021,458742858,3620000,39549108,57564204,474193423,1434059,21040904,22377000,483264869,16561674,275846,316366779,10343355,945601831,3684211762,4854875,4120616,60590614,106030,16095199,567997803,5399000,74205,3135015,,59327192,14948048,2218430,8443591,4410359,43383428,8780745,3649237,76670,5065661,34402672,5561919,107318,55500,19793541,1094212,22730211,45364,41617,7466793,214197,5346331
35,1995,,,2474666,7625357,10656138,2415090,855383,2077790619,254139,383810298,24299160,2250115643,775425,7010145,254233351,251758685,5707533023,18638787,7819247,27768296,21931084,29302311,7269625,123776839,2485056,5233373,6156100,10628,513442,266278000,434508847,162019896,107948335,14913315,1983252,1627865,5836495,579681672,109864246,386284,297114,69784088,17164,18242912,131678,7744503,1841693,1204855000,81678051,27321,45625,4359184,27247899,3608841,29649135,534620,2029000,9096607,391293819,72131,10408489,2204277,9125398,3524506,41435758,5107790,611712,481049511,3829050,4303957,265955,286096964,1696014016,50457,25928,14345492,4652185,38594998,298467311,100288,1989872,108035,91663285,26994250,13945206,170054,13599988,59467274,74910461,359281,125439000,9490288,8690164,3545534,3187784,146870,63850,1261587756,1261587756,5118083,7685000,1717912312,496768,5709014,4693887421,10089878,2533711,71098,1254200,143484,5987043,30880,18110657,13475400,57047908,4776843,385513,10194000,19313,59746,2298020,19125016,1043384479,408625,7948278,68670,10026176,9585653,253107289,563697,41576234,36421438,28692,18072000,14380866,441851,58019030,3675099,10888252,7491637,1956575285,5905558,958195520,5764810,95976,4560400,2707537,3528380,2202547627,1436634,4280338246,475394,856212881,3224281,56844303,4620030,6281190,45092991,1898598,377419,1122457,1942431457,193816,4664148544,295640057,145139,53161,196934260,20149338,206963,4657722,844334,1116879852,15459006,148375726,455783349,11410714,24094747,761291,21862299,11455204,995277110,630388,30716,145561,3629102,32166,4207841,20487607,62334034,16216,115169930,1084946,2044661,14199762,4846483,323589222,80324,634606298,2739668,926841,583413261,583413261,28757785,1088854,3217348,168158,9298,51512299,10562153,9844415,2313630,10136811,7040687,411298620,10327253,267468,466604856,3673400,39724050,58486456,482150647,1469174,21576071,22785000,484222373,17014057,280184,317181448,10328965,963922588,3735691901,4948798,4226291,61442664,107529,15815626,583337957,5545000,75304,3222656,1605901,59541899,15483286,2204222,8406067,4588843,43901598,8826939,3683103,77723,5187060,34828170,5628600,107818,55800,20413152,1128575,22684270,45870,42074,7622338,218071,5361999
36,1996,,,2587997,7617794,10982917,2539126,873423,2118416707,259183,394448671,24753824,2294686411,784386,7250975,259431597,256843600,5790454220,19033845,7952763,28589451,22385650,29610218,7463782,127349290,2457222,5263074,6435500,10672,522531,269394000,434834171,164614688,110668794,15469274,1989443,1663378,6013107,594801259,109626194,395533,304622,71401749,17593,18367288,133806,7887304,1868414,1217550000,81914831,26849,45615,4381336,27660288,3637510,30444526,541465,2059000,9339733,391652704,72878,10646674,2236654,9267340,3670704,42241011,5124573,611003,494517676,3764425,4312666,267049,292041181,1716810429,50533,26252,14754142,4741578,38624370,306246158,101001,1988628,107976,93147044,27383473,14400719,171165,13970813,60130186,76068743,369523,125757000,9826598,8912861,3632362,3168033,148834,64360,1287476190,1287476190,5221926,7763000,1738960485,515853,5874809,4769462932,10372745,2558637,70936,1257549,144335,6060111,31348,18853437,13902688,58883530,4887632,393373,10160000,19502,60129,2316568,19460594,1050573065,414225,7959017,70173,10063945,9837571,259000953,578666,42757243,37076387,28971,18311000,14587370,448213,58166950,3667748,10939293,7682686,1975922433,6094259,982921322,5851355,96273,4628400,2785810,3610665,2227015777,1415594,4345432484,488627,857577538,3247381,56860281,4557097,6331280,45524681,1934291,379905,1133996,1965146504,197564,4739881155,299064347,146306,54211,199901228,20783073,213664,4491699,855362,1125172255,15530498,148160042,463368817,11541217,24782383,760795,22113438,11703174,1000603120,643654,30995,148060,3601613,34065,4287346,21017613,63601629,16926,117649932,1112955,2160478,14665127,4951195,331892967,83200,651028355,2796291,945508,599067779,599067779,29266405,1110833,3168221,171722,9323,51057189,10608800,10022789,2372901,10156637,7071850,423019190,10315241,268916,474430763,3732000,39889852,59423282,490080681,1504730,22090352,23225000,485063813,17462496,283978,318003015,10311238,982365243,3786541610,5036171,4348805,62294920,108321,15577894,598991362,5692000,76417,3308233,1626857,59753100,15960442,2196464,8362826,4732854,44452206,8840998,3724655,78903,5314248,35246374,5689938,108095,55900,21032821,1164091,22619004,47521,42475,7779267,222322,5373361
37,1997,,,2706518,7596501,11298600,2671362,891190,2159201405,263842,405123344,25210954,2339478706,792736,7503493,264504166,261797648,5873071768,19407142,8084407,29415659,22837743,29905948,7662075,131057431,2432851,5284991,6489300,10647,535321,272657000,435191660,167209040,113457663,15975668,1999598,1698032,6419901,609983301,109422013,404259,311958,73030884,18014,18470900,135832,8030726,1893444,1230075000,82034771,26909,45796,4405157,28081620,3674171,31192857,551709,2086000,9597609,392007080,73850,10887634,2249762,9395123,3796038,42987461,5139835,609520,507968946,3736070,4335301,268187,297891731,1737388752,50450,26562,15175316,4827661,38649660,313764396,101567,1985956,107895,94611002,27754571,14871570,172068,14344449,60846582,77133214,379999,126057000,10178201,9130877,3718949,3148281,150913,64327,1313346377,1313346377,5411655,7838250,1759761226,536460,6045699,4844990450,10665546,2583916,70599,1259848,145373,6122130,31830,19357126,14347854,60697443,4998100,401352,10117000,19665,60497,2335734,19809624,1057559196,419450,7968041,71704,10108977,10094368,264822188,594931,43827180,37723800,29408,18517000,14786220,454161,58316954,3654208,10989732,7936127,1994983078,6281639,1007897565,5938405,96619,4696400,2867280,3658424,2251187823,1399535,4410389228,501953,858882872,3270164,56890372,4534920,6378552,45953580,1968044,382791,1148284,1987315562,201418,4815512572,302623445,146956,55221,202826446,21439574,221580,4349913,861866,1133422874,15610650,147915307,470916671,11653242,25413917,757970,22335267,11951452,1005699715,660863,31280,150303,3575137,36156,4355116,21562793,64892270,17567,120160564,1141338,2326202,15130663,5050315,340389142,85451,667508423,2853913,963426,615054371,615054371,29742979,1132510,3133089,174921,9323,50594105,10661259,10264906,2433563,10181245,7088906,434736174,10304131,271128,482211642,3781300,40057389,60372568,497957410,1540425,22584775,23667000,485855012,17908985,287358,318761762,10290486,1000900030,3837092885,5118007,4485951,63136312,108480,15333703,614977052,5836000,77319,3392436,1710256,59964851,16397183,2195179,8312068,4848541,45027233,8846062,3759430,80187,5446641,35657429,5746284,108357,56000,21655398,1200526,22553978,50056,42854,7937458,226866,5383291
38,1998,31240,,2776568,7567745,11600508,2813214,908702,2199992975,268455,415959410,25658062,2384215228,800157,7770048,269440690,266664122,5954810550,19783304,8214426,30250488,23288564,30155173,7860781,134843233,2410019,5304219,6543700,10565,551562,275854000,435439577,169785250,116319759,16450310,2012057,1731639,6962802,625342098,109238340,412514,319144,74672014,18410,18564599,137848,8174680,1917135,1241935000,82047195,27392,46096,4431464,28504847,3712696,31924196,564377,1966000,9866476,392243961,74943,11133501,2251864,9509857,3927213,43682260,5153498,607662,521617674,3734337,4381483,269336,303641740,1757224494,50356,26840,15599591,4910647,38663481,321010137,102021,1981629,107801,96056321,28110443,15359601,172839,14723768,61585103,78115710,390693,126400000,10545716,9347774,3803887,3128530,153021,64142,1339202708,1339202708,5661942,7913000,1779799008,558492,6220406,4919850879,10968724,2608873,70185,1261695,146498,6185562,32311,19737765,14808791,62507724,5107839,409616,10069000,19821,60943,2355664,20163885,1064403601,424700,7976789,73224,10160196,10360561,270575803,613700,44849967,38364309,29947,18711000,14977733,459831,58487141,3652732,11038692,8235064,2013289641,6470265,1032995591,6027388,97032,4769000,2951647,3693520,2274454564,1386156,4474447539,515385,860015493,3291053,56906744,4532135,6423827,46286503,1997516,385287,1160421,2008705489,205279,4890406949,306070116,144472,56171,205724592,22114324,230244,4243607,866530,1141378668,15707209,147670692,478398772,11747072,26015521,753778,22536753,12198449,1010590288,680463,31556,152277,3549331,38329,4413479,22114654,66200269,18232,122682815,1170061,2517481,15589414,5144602,348989354,87277,684006237,2912316,979918,631400656,631400656,30192754,1154371,3108687,177987,9332,50143939,10720509,10552338,2496216,10203008,7110001,446608340,10294373,274047,489919322,3815000,40223509,61329676,505774348,1575824,23057883,24051000,486597004,18357156,290597,319433981,10266570,1019483581,3886855288,5196780,4632446,63971836,108208,15071300,631321810,5971000,78846,3475492,1831119,60186288,16813949,2206432,8256786,4943975,45611220,8850974,3781101,81556,5581762,36063459,5797765,108537,56100,22290780,1238125,22507344,52997,43221,8096761,231570,5390516
39,1999,31084,,2848431,7540401,11886458,2966034,926046,2240609732,273527,427140442,26078293,2428682278,806303,8053536,274350032,271501601,6035284135,20194527,8343283,31098757,23739841,30401286,8054743,138624621,2390482,5321799,6606500,10449,570489,279040000,435384574,172318675,119260063,16921149,2024394,1763859,7501234,641046802,109060951,420452,326210,76325927,18776,18663284,139959,8319057,1939992,1252735000,82100243,28116,46436,4461913,28948606,3754786,32682239,577881,1762000,10140561,392211706,76001,11387203,2254904,9613588,3958723,44338543,5165474,606001,535773390,3743354,4462378,270451,309436741,1775880231,50423,27145,16013985,4991040,38660271,328377495,102432,1983045,107758,97484832,28455509,15866869,173609,15112592,62298571,79035871,401586,126631000,10929918,9568722,3885430,3108778,154995,64370,1365067928,1365067928,5933882,7982750,1798649990,581770,6397151,4993500491,11282701,2632675,69835,1263933,147555,6267124,32769,20170844,15282521,64343013,5216349,418383,10026738,20026,61285,2376225,20540138,1071158291,430475,7992324,74674,10217828,10642936,276393837,636541,45919613,38999471,30529,18926000,15162800,465385,58682466,3647001,11084670,8553601,2030330432,6664098,1058271595,6119661,97482,4840400,3038433,3747766,2296375670,1390244,4536985402,528848,861035457,3308012,56916317,4512597,6468476,46616677,2019731,387578,1175267,2028650274,209214,4964125844,309502571,139428,57053,208615169,22802064,238988,4157192,873136,1149382451,15812088,147214392,485778282,11822719,26626520,749674,22731482,12442115,1015420880,699975,31844,153953,3524238,40420,4466135,22661298,67515591,19065,125189651,1199052,2699712,16032573,5235346,357543133,89005,700728462,2971196,994108,648148316,648148316,30623406,1177131,3089022,181265,9346,49673350,10761698,10854322,2561585,10226419,7143991,458867402,10283860,277381,497517841,3835100,40386875,62287397,513442848,1610264,23509964,24311650,487497959,18812359,294062,320258898,10237530,1038058156,3935228896,5275926,4780448,64800880,107781,14928426,648067906,6125000,80410,3558014,1951636,60496718,17244188,2237405,8210624,5031762,46181077,8857874,3800081,82972,5716161,36467218,5844846,108599,56100,22952410,1277133,22472040,55636,43614,8257066,236221,5396020
40,2000,30519,,2922153,7516346,12155239,3134062,943290,2281159205,279398,438799433,26459944,2472913805,811006,8355654,279279634,276357481,6115108363,20663843,8471321,31964557,24192446,30685730,8240730,142343578,2367550,5339616,6665000,10337,592468,282162411,435028415,174790340,122283850,17409072,2034819,1794571,7933681,657215864,108447824,428188,333165,77991755,19105,18777601,142262,8463806,1962452,1262645000,82211508,28935,46735,4490967,29393029,3805174,33499180,591021,1700000,10415944,392301484,76941,11650743,2267973,9708350,4027887,44967708,5176209,604950,550660001,3751176,4584571,271515,315326801,1793498351,50753,27462,16410848,5069302,38258629,336293932,102833,1988925,107784,98899845,28793679,16395473,174454,15513945,62952642,79910412,412660,126843000,11331557,9797734,3962372,3089027,156729,65390,1390946064,1390946064,6199394,8048600,1816466142,606181,6574509,5066140135,11607942,2654701,69650,1267153,148443,6378871,33184,20779953,15766806,66224804,5323201,427782,9979610,20311,61833,2397418,20917092,1077839576,436300,8011566,76016,10289898,10946445,282344154,664611,47105826,39629968,31077,19153000,15342353,470949,58892514,3639592,11126430,8872254,2045841423,6865951,1084206014,6216341,97973,4898400,3127411,3842778,2317310149,1396985,4598469354,542357,861993393,3319736,56942108,4468302,6513485,47008111,2032804,390087,1186873,2047640119,213230,5037268787,312909974,133860,57821,211513823,23497585,247315,4077131,884366,1157244082,15925513,146596557,493029013,11881477,27275015,746715,22929075,12681123,1020504252,717584,32147,155329,3499536,42303,4516133,23194257,68831561,20164,127657854,1228360,2848456,16454668,5323700,366210370,90853,717995644,3030328,1005435,665327581,665327581,31042235,1201301,3069591,184972,9394,49175848,10805808,11148758,2630219,10251250,7184250,471680794,10255063,281205,504982243,3857700,40567864,63240194,520964431,1643334,23941110,24650400,488221138,19278856,298051,321310791,10210971,1056575549,3981934121,5357891,4924402,65623405,107402,14883626,665246450,6289000,81131,3640427,2045123,60912500,17711927,2292416,8170172,5122493,46719701,8872109,3810605,84396,5847586,36870787,5887936,108642,56200,23650172,1317703,22442971,57453,44074,8418264,240686,5388720
